Hora,Total,New_Solar,Diesel_engines,Gas_turbine,Combined_cycle,Solar,Wind,Other_renewables,Wastes,Cogeneration
6/27/20 0:00,528,422.4,33,9.7,58.7,0.6,0.5,0,33,3.1
6/27/20 0:10,519,415.2,32,9.4,57.4,0.6,0.3,0,33,3.1
6/27/20 0:20,511,408.8,32,9.3,55.8,0.6,0.4,0,33,3.1
6/27/20 0:30,503,402.4,32,9.3,54.2,0.6,0.4,0,33,3.1
6/27/20 0:40,496,396.8,32,2.1,59.9,0.6,0.5,0,33,3.1
6/27/20 0:50,488,390.4,32,0,61.5,0.6,0.4,0,32,3.1
6/27/20 1:00,481,384.8,32,0,58.3,0.6,0.2,0,34,3.1
6/27/20 1:10,475,380,32,0,55.9,0.6,0.4,0,35,3.1
6/27/20 1:20,468,374.4,32,0,54.5,0.6,0.4,0,35,3.1
6/27/20 1:30,463,370.4,32,0,53.3,0.6,0.6,0,35,3.1
6/27/20 1:40,456,364.8,32,0,51.7,0.6,0.8,0,35,3.1
6/27/20 1:50,451,360.8,32,0,52.8,0.6,0.7,0,33,3.1
6/27/20 2:00,445,356,32,0,52,0.6,0.3,0,33,3.1
6/27/20 2:10,442,353.6,33,0,50.7,0,0.6,0,34,3.1
6/27/20 2:20,437,349.6,32,0,50.9,0,0.4,0,33,3.1
6/27/20 2:30,432,345.6,32,0,49,0,0.3,0,34,3.1
6/27/20 2:40,430,344,32,0,49.5,0,0.4,0,33,3.1
6/27/20 2:50,428,342.4,32,0,49.4,0,0.1,0,33,3.1
6/27/20 3:00,424,339.2,31,0,49.6,0,0.1,0,32,3.1
6/27/20 3:10,423,338.4,32,0,47.4,0,0.1,0,34,3.1
6/27/20 3:20,420,336,32,0,46.8,0,0.1,0,34,3.1
6/27/20 3:30,417,333.6,32,0,46.2,0,0.1,0,34,3.1
6/27/20 3:40,415,332,32,0,44.8,0,0.1,0,35,3.1
6/27/20 3:50,412,329.6,32,0,45.3,0,0,0,34,3.1
6/27/20 4:00,411,328.8,32,0,46.1,0,0,0,33,3.1
6/27/20 4:10,412,329.6,32,0,44.3,0,0,0,35,3.1
