Number,Hora,Total,Es_Bessons,Lubi,Son_Rues,Valldurgent,Son_Orlandis,Murterar_Power,GESA,Santa_Ponsa,Cas_Tresoare,Cala_Bosc,Ciutadella,Mahon,Dragonera,Es_Merceds,Elvissa
1,0:00:00,528,34.94438555,12.28121267,37.64681025,122.2504292,4.096643389,24.97970296,11.25777828,9.390489982,144.3551009,1.379519227,22.91429935,7.444329424,6.204693087,6.622096447,82.23250928
2,0:10:00,519,34.34874261,12.07187382,37.00510326,120.166615,4.026814241,24.55391257,11.06588433,9.230424812,141.8945026,1.356004695,22.5237147,7.317437445,6.098931273,6.509219803,80.83081878
3,0:20:00,511,33.81928222,11.88579484,36.43469704,118.3143358,3.964743886,24.17543222,10.89531193,9.088144661,139.7073041,1.335102888,22.17652835,7.204644575,6.004920772,6.408885008,79.58487167
4,0:30:00,503,33.28982184,11.69971586,35.86429083,116.4620566,3.902673532,23.79695187,10.72473954,8.94586451,137.5201056,1.314201082,21.829342,7.091851705,5.91091027,6.308550214,78.33892456
5,0:40:00,496,32.826544,11.53689675,35.36518539,114.8413122,3.848361972,23.46578157,10.57548869,8.821369377,135.6063069,1.295912001,21.52555394,6.993157943,5.828651082,6.220757268,77.24872084
6,0:50:00,488,32.29708361,11.35081777,34.79477917,112.989033,3.786291617,23.08730122,10.40491629,8.679089226,133.4191084,1.275010195,21.17836758,6.880365073,5.73464058,6.120422474,76.00277373
7,1:00:00,481,31.83380577,11.18799866,34.29567373,111.3682887,3.731980057,22.75613092,10.25566544,8.554594094,131.5053098,1.256721114,20.87457952,6.781671312,5.652381392,6.032629528,74.91257001
8,1:10:00,475,31.43671048,11.04843943,33.86786907,109.9790793,3.685427292,22.47227065,10.12773614,8.44788398,129.8649109,1.241044759,20.61418976,6.69707666,5.581873516,5.957378432,73.97810967
9,1:20:00,468,30.97343264,10.88562032,33.36876363,108.3583349,3.631115731,22.14110035,9.978485294,8.323388848,127.9511122,1.222755679,20.3104017,6.598382898,5.499614327,5.869585487,72.88790595
10,1:30:00,463,30.6425199,10.76932096,33.01225975,107.2006604,3.59232176,21.90455013,9.871877545,8.234463753,126.5841131,1.20969205,20.09341023,6.527887355,5.440857764,5.80687624,72.10918901
11,1:40:00,456,30.17924206,10.60650185,32.51315431,105.5799161,3.5380102,21.57337983,9.722626696,8.109968621,124.6703144,1.191402969,19.78962217,6.429193593,5.358598575,5.719083295,71.01898529
12,1:50:00,451,29.84832932,10.49020249,32.15665042,104.4222416,3.499216228,21.33682961,9.616018947,8.021043527,123.3033154,1.17833934,19.5726307,6.358698049,5.299842012,5.656374048,70.24026834
13,2:00:00,445,29.45123403,10.35064325,31.72884576,103.0330322,3.452663463,21.05296935,9.488089649,7.914333413,121.6629165,1.162662985,19.31224093,6.274103397,5.229334136,5.581122952,69.30580801
14,2:10:00,442,29.25268639,10.28086364,31.51494343,102.3384274,3.42938708,20.91103922,9.424124999,7.860978356,120.8427171,1.154824808,19.18204605,6.231806071,5.194080198,5.543497404,68.83857784
15,2:20:00,437,28.92177364,10.16456427,31.15843955,101.1807529,3.390593108,20.674489,9.317517251,7.772053262,119.475718,1.141761179,18.96505458,6.161310527,5.135323634,5.480788158,68.0598609
16,2:30:00,432,28.5908609,10.04826491,30.80193566,100.0230784,3.351799137,20.43793878,9.210909502,7.683128167,118.1087189,1.12869755,18.74806311,6.090814983,5.076567071,5.418078911,67.28114396
17,2:40:00,430,28.4584958,10.00174517,30.65933411,99.5600086,3.336281548,20.3433187,9.168266402,7.647558129,117.5619193,1.123472098,18.66126652,6.062616766,5.053064446,5.392995212,66.96965718
18,2:50:00,428,28.32613071,9.955225421,30.51673255,99.09693879,3.32076396,20.24869861,9.125623303,7.611988092,117.0151197,1.118246646,18.57446993,6.034418548,5.02956182,5.367911514,66.6581704
19,3:00:00,424,28.06140051,9.862185931,30.23152945,98.17079918,3.289728782,20.05945844,9.040337104,7.540848016,115.9215205,1.107795743,18.40087675,5.978022113,4.98255657,5.317744116,66.03519684
20,3:10:00,423,27.99521797,9.838926059,30.16022867,97.93926428,3.281969988,20.01214839,9.019015554,7.523062997,115.6481206,1.105183017,18.35747846,5.963923004,4.970805257,5.305202267,65.87945346
21,3:20:00,420,27.79667032,9.769146441,29.94632634,97.24465956,3.258693605,19.87021826,8.955050904,7.46970794,114.8279212,1.09734484,18.22728358,5.921625678,4.935551319,5.267576719,65.41222329
22,3:30:00,417,27.59812268,9.699366824,29.73242401,96.55005485,3.235417222,19.72828813,8.891086255,7.416352884,114.0077218,1.089506662,18.09708869,5.879328352,4.900297381,5.229951171,64.94499312
23,3:40:00,415,27.46575758,9.652847079,29.58982245,96.08698505,3.219899634,19.63366805,8.848443156,7.380782846,113.4609221,1.084281211,18.0102921,5.851130134,4.876794756,5.204867472,64.63350635
24,3:50:00,412,27.26720993,9.583067461,29.37592012,95.39238034,3.196623251,19.49173792,8.784478506,7.327427789,112.6407227,1.076443033,17.88009722,5.808832808,4.841540818,5.167241924,64.16627618
25,4:00:00,411,27.20102739,9.559807589,29.30461934,95.16084543,3.188864456,19.44442787,8.763156957,7.30964277,112.3673229,1.073830308,17.83669893,5.794733699,4.829789505,5.154700075,64.01053279
26,4:10:00,412,27.26720993,9.583067461,29.37592012,95.39238034,3.196623251,19.49173792,8.784478506,7.327427789,112.6407227,1.076443033,17.88009722,5.808832808,4.841540818,5.167241924,64.16627618
27,4:20:00,409,27.06866229,9.513287844,29.16201779,94.69777562,3.173346868,19.34980778,8.720513857,7.274072732,111.8205233,1.068604856,17.74990234,5.766535482,4.80628688,5.129616376,63.69904601
28,4:30:00,407,26.93629719,9.466768099,29.01941624,94.23470582,3.157829279,19.2551877,8.677870757,7.238502695,111.2737236,1.063379404,17.66310575,5.738337264,4.782784254,5.104532678,63.38755924
29,4:40:00,405,26.8039321,9.420248354,28.87681468,93.77163601,3.142311691,19.16056761,8.635227658,7.202932657,110.726924,1.058153953,17.57630916,5.710139047,4.759281629,5.079448979,63.07607246
30,4:50:00,406,26.87011464,9.443508227,28.94811546,94.00317091,3.150070485,19.20787765,8.656549208,7.220717676,111.0003238,1.060766679,17.61970746,5.724238155,4.771032942,5.091990828,63.23181585
31,5:00:00,407,26.93629719,9.466768099,29.01941624,94.23470582,3.157829279,19.2551877,8.677870757,7.238502695,111.2737236,1.063379404,17.66310575,5.738337264,4.782784254,5.104532678,63.38755924
32,5:10:00,409,27.06866229,9.513287844,29.16201779,94.69777562,3.173346868,19.34980778,8.720513857,7.274072732,111.8205233,1.068604856,17.74990234,5.766535482,4.80628688,5.129616376,63.69904601
33,5:20:00,409,27.06866229,9.513287844,29.16201779,94.69777562,3.173346868,19.34980778,8.720513857,7.274072732,111.8205233,1.068604856,17.74990234,5.766535482,4.80628688,5.129616376,63.69904601
34,5:30:00,407,26.93629719,9.466768099,29.01941624,94.23470582,3.157829279,19.2551877,8.677870757,7.238502695,111.2737236,1.063379404,17.66310575,5.738337264,4.782784254,5.104532678,63.38755924
35,5:40:00,408,27.00247974,9.490027971,29.09071701,94.46624072,3.165588074,19.30249774,8.699192307,7.256287714,111.5471235,1.06599213,17.70650404,5.752436373,4.794535567,5.117074527,63.54330262
36,5:50:00,409,27.06866229,9.513287844,29.16201779,94.69777562,3.173346868,19.34980778,8.720513857,7.274072732,111.8205233,1.068604856,17.74990234,5.766535482,4.80628688,5.129616376,63.69904601
37,6:00:00,412,27.26720993,9.583067461,29.37592012,95.39238034,3.196623251,19.49173792,8.784478506,7.327427789,112.6407227,1.076443033,17.88009722,5.808832808,4.841540818,5.167241924,64.16627618
38,6:10:00,414,27.39957503,9.629587206,29.51852168,95.85545014,3.212140839,19.586358,8.827121606,7.362997827,113.1875223,1.081668485,17.96689381,5.837031025,4.865043443,5.192325623,64.47776296
39,6:20:00,413,27.33339248,9.606327334,29.4472209,95.62391524,3.204382045,19.53904796,8.805800056,7.345212808,112.9141225,1.079055759,17.92349552,5.822931917,4.85329213,5.179783774,64.32201957
40,6:30:00,407,26.93629719,9.466768099,29.01941624,94.23470582,3.157829279,19.2551877,8.677870757,7.238502695,111.2737236,1.063379404,17.66310575,5.738337264,4.782784254,5.104532678,63.38755924
41,6:40:00,408,27.00247974,9.490027971,29.09071701,94.46624072,3.165588074,19.30249774,8.699192307,7.256287714,111.5471235,1.06599213,17.70650404,5.752436373,4.794535567,5.117074527,63.54330262
42,6:50:00,410,27.13484484,9.536547716,29.23331857,94.92931053,3.181105662,19.39711783,8.741835407,7.291857751,112.0939231,1.071217582,17.79330063,5.78063459,4.818038192,5.142158226,63.8547894
43,7:00:00,420,27.79667032,9.769146441,29.94632634,97.24465956,3.258693605,19.87021826,8.955050904,7.46970794,114.8279212,1.09734484,18.22728358,5.921625678,4.935551319,5.267576719,65.41222329
44,7:10:00,431,28.52467835,10.02500504,30.73063488,99.79154351,3.344040342,20.39062874,9.189587952,7.665343148,117.8353191,1.126084824,18.70466481,6.076715874,5.064815758,5.405537062,67.12540057
45,7:20:00,434,28.723226,10.09478466,30.94453722,100.4861482,3.367316725,20.53255887,9.253552601,7.718698205,118.6555186,1.133923001,18.83485969,6.119013201,5.100069696,5.44316261,67.59263073
46,7:30:00,444,29.38505148,10.32738338,31.65754499,102.8014973,3.444904668,21.00565931,9.466768099,7.896548394,121.3895167,1.160050259,19.26884264,6.260004288,5.217582823,5.568581103,69.15006462
47,7:40:00,450,29.78214677,10.46694262,32.08534965,104.1907067,3.491457434,21.28951957,9.594697398,8.003258508,123.0299156,1.175726614,19.5292324,6.344598941,5.288090699,5.643832199,70.08452495
48,7:50:00,460,30.44397226,10.69954134,32.79835742,106.5060557,3.569045377,21.76262,9.807912895,8.181108697,125.7639137,1.201853872,19.96321534,6.485590028,5.405603826,5.769250692,71.64195884
49,8:00:00,472,31.23816284,10.97865981,33.65396674,109.2844746,3.662150909,22.33034052,10.06377149,8.394528924,129.0447114,1.233206582,20.48399488,6.654779333,5.546619578,5.919752884,73.51087951
50,8:10:00,487,32.23090106,11.3275579,34.7234784,112.7574981,3.778532823,23.03999118,10.38359474,8.661304207,133.1457086,1.272397469,21.13496929,6.866265965,5.722889268,6.107880624,75.84703034
51,8:20:00,498,32.95890909,11.58341649,35.50778694,115.3043821,3.86387956,23.56040165,10.61813179,8.856939415,136.1531066,1.301137453,21.61235052,7.021356161,5.852153707,6.245840967,77.56020762
52,8:30:00,508,33.62073458,11.81601522,36.22079471,117.6197311,3.941467503,24.03350209,10.83134728,9.034789604,138.8871047,1.327264711,22.04633347,7.162347249,5.969666834,6.37125946,79.1176415
53,8:40:00,517,34.21637751,12.02535407,36.86250171,119.7035452,4.011296652,24.45929248,11.02324123,9.194854774,141.347703,1.350779243,22.43691812,7.289239227,6.075428648,6.484136104,80.519332
